/BIC/ZVCH_OKPO,TXTLG
339419,Спирт ОАО
339566,Александровский спиртзавод ГУП
339595,ОАО 'Татспиртпром'
339773,Амурский кристалл ОАО
339903,Слободской спирто-водочный завод ОАО
343131,"ОАО ""КРАХМАЛОПРОДУКТ"""
343154,Дигорский з-д лимонной к-ты
343177,ОАО 'БМК'
343220,"ОАО КПЗ ""НОВЛЯНСКИЙ"""
343579,"ООО ""АСТОН КРАХМАЛО-ПРОДУКТЫ"""
352816,Бассоль ОАО
358055,В-Сибпромтранс АО Минусинское ППЖТ(Минусинск)
358983,Краснокамская макар.ф-ка
361465,"Хабаровскпищепром ГПК ""Комсомольский"" ОАО"
361488,"Хабаровскпищепром ОАО ""Тайга"""
361554,"Горпищекомбинат ""Совгаванский"" ОАО"
365440,Атмис-сахар ОАО
365517,"ООО ""КАРГИЛЛ"""
404542,Кизлярский винсовхоз
405116,Просковейское ЗАО
417496,ОАО 'КОНТАКТ'
438943,"ООО ""ЭКО ПЭЙПЕР"""
467749,НАХОДКИНСКИЙ МОРСКОЙ РЫБНЫЙ ПОРТОАО
469369,ОАО 'Гаммахим'
479037,Гидролизный з-д ОАО
479072,Кировский биохимический з-д
479132,Тавдинский гидролизный з-д
479250,Бирюсинский гидролизный з-д ОАО(Бирюсинск)
479273,Тулунский гидролизный з-д(Нюра)
479468,"ОАО ""БИОХИМ"""
480817,
506877,ГУ Главное управление дорожного хозяйства области
511321,Петролсиб ЗАО
513828,"ООО ""БТР"""
545484,"ОАО ""Соликамский магниевый завод"""
568574,"ООО ""ГЛОБАЛТРАНС"""
654813,ОАО 'Саранский вагоноремонтный завод'
679003,Росинвестлизинг ООО
729244,"АО ""АЛТАЙВАГОН"""
813068,ООО `СПЕЦИАЛИСТ`
827113,ФГУП КЖД
867673,ООО 'Лосеворемтехника'
897013,ОАО 'Агропромкомплект'
932695,Вологодский к-т хлебопродуктов ОАО
1002998,Кропоткинское объединенное пр-ие Стройиндустрии
1003271,Завод ЖБИ № 6 - ФЛ ОАО 'БЭТ'
1055664,РЕЛЬСОСВАРОЧНЫЙ ПОЕЗД 7 ДРП ЦДРП ОАО 'РЖД'
1055782,Ремпутьмаш Калужский з-д
1055865,МОСКОВСКИЙ ВСЗ ИМ.ВОЙТОВИЧА ОАО 'РЖД'
1056115,ФЛ ВАГОННОЕ ДЕПО ЧИТА ХАБАРОВСКОГО ФЛ ОАО 'ВРК-2'
1057060,ОАО 'РЯЗАНСКИЙ ШПАЛОПРОПИТОЧНЫЙ ЗАВОД'
1057172,РЕЛЬСОСВАРОЧНЫЙ ПОЕЗД N 17 ОАО 'РЖД'
1057462,СОСНОГОРСКАЯ ПУТЕВАЯ МАШИННАЯ СТАНЦИЯ N 192 ОАО `Р
1058094,РЕЛЬСОСВАРОЧНЫЙ ПОЕЗД N 27
1058303,Завод железобетонных конструкций и строительных де
1058711,ДРЭПМ Ю-УР ДИ Ю-УР ж. д. ОАО 'РЖД'
1058987,СТП РЕЛЬСОСВАРОЧНОЕ ПРЕДПРИЯТИЕ N 37 ООО 'РСП-М'
1060702,"ПМС N 88 ОКТЯБРЬСКОЙ ДИРЕКЦИИ ""ПУТЬРЕМ"" ОАО ""РЖД"""
1060754,"ПМС-28 ДРП ЦДРП - ФИЛИАЛА ОАО ""РЖД"""
1060872,Тверская дист-я электроснабжения Октябрьской ж.д.
1060889,Бологовская дист-я электроснаб-я Октябрьской ж.д.
1060955,Экспл-ое вагонное депо Бологое Октябрьской ж.д.
1061009,Сонковская дистанция пути Октябрьской ж.д.
1061015,"ФЛ ПМС-82 Октябрьской ДРП ЦДРП-Филиала ОАО ""РЖД"""
1061089,СП 'СПБ-МОСКОВСКАЯ ДИСТАНЦИЯ ЭЛЕКТРОСНАБЖЕНИЯ'
1061156,СТРУКТ ОТДЕЛ 'САНКТ-ПЕТЕРБУРГСКОЕ ОТДЕЛЕНИЕ ОЖД'
1061392,СПБ-БАЛТИЙСКАЯ ДИСТАНЦИЯ ЭЛЕКТРОСНАБЖЕНИЯ
1061400,"ПМС-83 ОКТЯБРЬСКОЙ ДРП ЦДРП - ФИЛИАЛА ОАО ""РЖД"""
1061481,ГАТЧИНСКАЯ ДИСТАНЦИЯ ПУТИ
1061535,ОТД 'САНКТ-ПЕТЕРБУРГ-ФИНЛЯНДСКАЯ ДИСТАНЦИЯ ПУТИ'
1061653,ВЫБОРГСКАЯ ДИСТАНЦИЯ ПУТИ
1061860,НОВОСОКОЛЬНИЧЕСКАЯ ДИСТАНЦИЯ ПУТИ
1061943,"ПМС N 77 ОАО ""РЖД"""
1062003,ВОЛХОВСТРОЕВСКОЕ ОТДЕЛЕНИЕ ОАО 'РЖД'
1062635,"ФЛ ПМС-199 ОКТ ДРП ""Путьрем"" ЦДРП "" ОАО ""РЖД"""
1063511,Калининградская дирекция тяги
1063563,СТАНЦИЯ КАЛИНИНГРАД-СОРТИРОВОЧНАЯ КЖД-ФЛ ОАО 'РЖД'
1063617,ВЧДр Черняховск Ярославского филиала ОАО 'ВРК-3'
1063634,"ФЛ ОАО ""РЖД""-КЖД"
1065510,СТПОБП Эксплуатац вагонное депо Тула Моск дирекции
1065591,ФЛ ТУЛ ОТДЕЛЕНИЕ МЖД ОАО 'РОССИЙСК ЖЕЛ ДОР'
1066358,ФЛ СМОЛЕНСКОЕ ОТДЕЛЕНИЕ МОСК Ж Д ОАО 'РЖД'
1066432,ПМС-101 МОСКОВСКОЙ ДРП ЦДРП
1066478,ПМС №332
1066610,Унечская дистанция пути Московской дирекции инфрас
1066633,Опыт путевая машинн станция № 99
1066857,ГДРП-подразделение Центральной дирекции пути
1066886,"Горьковская железная дорога - фл ОАО ""РЖД"""
1066952,СТП МУРОМСКАЯ ДИСТАНЦИЯ МЕХАНИЗИРОВАННОГО РЕМОНТА
1067325,Горьковская дирекция моторвагонного подвижного сос
1067443,ФЛ ПУТЕВАЯ МАШИННАЯ СТАНЦИЯ 31
1067822,Эксплуатационное вагонное депо Юдино
1068141,"ФЛ ОАО ""РЖД"" СЕВЕРНАЯ ЖЕЛЕЗНАЯ ДОРОГА"
1068201,Ярославль-Главный дистанция пути подразделение Сев
1068313,СТПОБП Эксплуатационное вагонное депо Ярославль-Гл
1068342,Ярославская дистанция электроснабжения
1068454,Ивановская дистанция пути
1068514,Костромская дистанция пути Северной дирекции инфр
1068537,Шарьинская дистанция пути Северной дирекции инфрас
1068589,Буйская дистанция электроснабжения
1068610,Эксплуатационное вагонное депо Буй
1068810,Вол.дист.электроснаб.Сев.дир.инфр.СЖД-фл ОАО 'РЖД'
1068833,ВОЛОГОДСКОЕ ОТДЕЛЕНИЕ СЖД-ФЛ ОАО 'РЖД'
