/BIC/ZVCH_STAT,TXTSH,TXTMD,TXTLG
1704,ОП1441,ОП 1441 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1441 К
1705,ОП1443,ОП 1443 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1443 К
1707,ОП1446,ОП 1446 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1446 К
1708,ОП1448,ОП 1448 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 1448 К
1710,МУРМАШ,МУРМАШИ,МУРМАШИ
1711,П-ТУЛМ,ПОСТ-ТУЛОМА,ПОСТ-ТУЛОМА
1713,ПЛ54КМ,ПЛ 54   КМ,ПЛАТФОРМА 54   КМ
1714,ПЛ61КМ,ПЛ 61   КМ,ПЛАТФОРМА 61   КМ
1715,ПЛ23КМ,ПЛ 23   КМ,ПЛАТФОРМА 23   КМ
1720,КОЛА-Э,КОЛА-ЭКСПОРТ,КОЛА-ЭКСПОРТ
1730,ПЯЙВЕ,ПЯЙВЕ,ПЯЙВЕ
1741,ПЛ75КМ,ПЛ 75   КМ,ПЛАТФОРМА 75   КМ
1742,ПЛ85КМ,ПЛ 85   КМ,ПЛАТФОРМА 85   КМ
1743,ПЛ90КМ,ПЛ 90   КМ,ПЛАТФОРМА 90   КМ
1744,МОККЕТ,МОККЕТ,МОККЕТ
1745,ТИТОВК,ТИТОВКА,ТИТОВКА
1746,ПЛ101К,ПЛ 101  КМ,ПЛАТФОРМА 101  КМ
1747,ПЛ109К,ПЛ 109  КМ,ПЛАТФОРМА 109  КМ
1748,НЯЛ,НЯЛ,НЯЛ
1790,ЛУОСТР,ЛУОСТАРИ,ЛУОСТАРИ
1791,СЕМУЖН,СЕМУЖНАЯ,СЕМУЖНАЯ
1792,ПЛ5 КМ,ПЛ 5    КМ,ПЛАТФОРМА 5    КМ
1800,ПЕЧЕНГ,ПЕЧЕНГА,ПЕЧЕНГА
1810,ЗАПОЛР,ЗАПОЛЯРНАЯ,ЗАПОЛЯРНАЯ
1820,НИК-МУ,НИКЕЛЬ-МУРМ.,НИКЕЛЬ-МУРМАНСКИЙ
1830,МРМН-П,МУРМАНСК-ПЕР,МУРМАНСК-ПЕРЕВАЛКА
1840,МУРМАН,МУРМАНСК,МУРМАНСК
1841,ПЛ2 КМ,ПЛ 2    КМ,ПЛАТФОРМА 2    КМ
1842,ПЛ 3КМ,ПЛ  3   КМ,ПЛАТФОРМА  3   КМ
1843,ПЛ 4КМ,ПЛ  4   КМ,ПЛАТФОРМА  4   КМ
1844,ПЛ 5КМ,ПЛ  5   КМ,ПЛАТФОРМА  5   КМ
1845,,МУРМАНСК-КОМ-МУР,МУРМАНСК-КОМ-МУР
1846,,МУРМАНСК-КОЛА,МУРМАНСК-КОЛА
1850,МУРМ-Э,МУРМАНСК-ЭКС,МУРМАНСК-ЭКСПОРТ
1860,КОМС-М,КОМСОМОЛ-МУР,КОМСОМОЛЬСК-МУРМАНСКИЙ
1861,,ПРОМЫШЛЕННАЯ,ПРОМЫШЛЕННАЯ
1870,К-М-ЭК,КОМСМ-МРМ-ЭК,КОМСОМОЛЬСК-МУРМАНСКИЙ-ЭК
1881,САФ-МУ,САФОНОВО-МУР,САФОНОВО-МУРМАНСКОЕ
1900,ВАЕНГА,ВАЕНГА,ВАЕНГА
2000,ВЫБОРГ,ВЫБОРГ,ВЫБОРГ
2001,ОП 2КМ,ОП  2 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  2 КМ
2002,ТАММИС,ТАММИСУО,ТАММИСУО
2003,ПАЛЬЦВ,ПАЛЬЦЕВО,ПАЛЬЦЕВО
2004,,ОП 12 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 12 КМ
2005,,ОП 13 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 13 КМ
2006,ГВАРДС,ГВАРДЕЙСКОЕ,ГВАРДЕЙСКОЕ
2007,ПИОНЛГ,ПИОНЕРЛАГЕРЬ,ПИОНЕРЛАГЕРЬ
2008,ОП21КМ,ОП 21 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 21 КМ
2009,,ПЛ 134 КМ,ПЛАТФОРМА 134 КМ
2010,ВЫБ-ЭК,ВЫБОРГ-ЭКСП,ВЫБОРГ-ЭКСПОРТ
2011,,ВЫБОРГ-ТАММИС,ВЫБОРГ-ТАММИС
2012,,ВЫБОРГ-ПРИГ,ВЫБОРГ-ПРИГ
2013,,ВЫБОРГ-ПИХ,ВЫБОРГ-ПИХ
2014,,ВЫБОРГ-ВЕРХ,ВЫБОРГ-ВЕРХ
2020,ЕРМИЛВ,ЕРМИЛОВО,ЕРМИЛОВО
2030,ПРИМРС,ПРИМОРСК,ПРИМОРСК
2031,БОР,БОР,БОР
2040,ПРИБЫЛ,ПРИБЫЛОВО,ПРИБЫЛОВО
2050,СОВЕТС,СОВЕТСКИЙ,СОВЕТСКИЙ
2051,ПОПОВО,ПОПОВО,ПОПОВО
2052,МАТРОС,МАТРОСОВО,МАТРОСОВО
2053,СОКОЛН,СОКОЛИНСКОЕ,СОКОЛИНСКОЕ
2060,ВЫСОЦК,ВЫСОЦК,ВЫСОЦК
2061,ПИХТОВ,ПИХТОВОЕ,ПИХТОВОЕ
2062,ЩЕРБКВ,ЩЕРБАКОВО,ЩЕРБАКОВО
2070,ВЫСЦ-Э,ВЫСОЦК-ЭКСП,ВЫСОЦК-ЭКСПОРТ
2080,КИРИЛЛ,КИРИЛЛОВСКОЕ,КИРИЛЛОВСКОЕ
2081,ЛЕЙПЯС,ЛЕЙПЯСУО,ЛЕЙПЯСУО
2090,ГАВРИЛ,ГАВРИЛОВО,ГАВРИЛОВО
2091,ЛЕБЕДВ,ЛЕБЕДЕВКА,ЛЕБЕДЕВКА
2092,,ОП 117 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 117 КМ
2093,ЛАЗОРВ,ЛАЗОРЕВКА,ЛАЗОРЕВКА
2101,ЖИТКОВ,ЖИТКОВО,ЖИТКОВО
2110,ВЕЩЕВО,ВЕЩЕВО,ВЕЩЕВО
2111,ОСИНВК,ОСИНОВКА,ОСИНОВКА
2112,ПЕРОВО,ПЕРОВО,ПЕРОВО
2113,КАРХУС,КАРХУСУО,КАРХУСУО
2120,ВЕРХНЧ,ВЕРХНЕЧЕРКАС,ВЕРХНЕЧЕРКАСОВО
2131,КРАВЦО,КРАВЦОВО,КРАВЦОВО
2132,ОП138К,ОП 138 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 138 КМ
2133,ЛУЖАЙК,ЛУЖАЙКА,ЛУЖАЙКА
2134,,ОП 144 КМ,ОСТ. ПУНКТ 144 КМ
2140,БУСЛ-Э,БУСЛОВС-ЭКС,БУСЛОВСКАЯ-ЭКСПОРТ
2145,,ВЯРТСИЛЯ-САИПС,ВЯРТСИЛЯ САИПС
2150,ПРИГРД,ПРИГОРОДНАЯ,ПРИГОРОДНАЯ
2160,ВОЗРОЖ,ВОЗРОЖДЕНИЕ,ВОЗРОЖДЕНИЕ
2161,ХАННИЛ,ХАННИЛА,ХАННИЛА
2162,НИКИФР,НИКИФОРВСКОЕ,НИКИФОРОВСКОЕ
2163,ОП38КМ,ОП 38 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 38 КМ
2164,КУОРЕК,КУОРЕКОСКИ,КУОРЕКОСКИ
2170,КАМНГР,КАМЕННОГОРСК,КАМЕННОГОРСК
2172,ЛЕНИЯР,ЛЕНИЯРВИ,ЛЕНИЯРВИ
2173,,КАМЕННОГОРСК I,КАМЕННОГОРСК I
2179,,СВЕТОГОРСК-САИПС,СВЕТОГОРСК САИПС
2180,СВЕТОГ,СВЕТОГОРСК,СВЕТОГОРСК
2181,КИВИОЯ,КИВИОЯ,КИВИОЯ
2182,,ОП 24 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 24 КМ
2190,СВЕТ-Э,СВЕТОГОР-ЭКС,СВЕТОГОРСК-ЭКСПОРТ
2200,ЛСГРСК,ЛЕСОГОРСКИЙ,ЛЕСОГОРСКИЙ
2210,ПРУДЫ,ПРУДЫ,ПРУДЫ
2212,ОП 5КМ,ОП  5 КМ,ОСТАНОВОЧНЫЙ ПУНКТ  5 КМ
2221,КР.СОК,КР.СОКОЛ,КРАСНЫЙ СОКОЛ
2222,,ОП 59 КМ,ОСТАНОВОЧНЫЙ ПУНКТ 59 КМ
2230,БОРОДН,БОРОДИНСКОЕ,БОРОДИНСКОЕ
2231,ИНКИЛЯ,ИНКИЛЯ,ИНКИЛЯ
